genres,nb_movies,avg_duration,median_duration,nb_press_rating,nb_user_rating,total_rating,press_rating_percentage,user_rating_percentage,movies_percentage
Action,1275,112,110,12795,12131275,12144070,7.493,12.933,16.125
Animation,499,90,91,6605,3124143,3130748,3.868,3.331,6.311
Arts Martiaux,40,106,105,275,97131,97406,0.161,0.104,0.506
Aventure,868,111,106,9946,8799177,8809123,5.825,9.38,10.978
Biopic,346,122,119,5077,1566343,1571420,2.973,1.67,4.376
Bollywood,8,164,168,50,3618,3668,0.029,0.004,0.101
Comédie,2001,100,99,23074,11823748,11846822,13.512,12.605,25.307
Comédie dramatique,451,108,105,5114,1683534,1688648,2.995,1.795,5.704
Comédie musicale,78,114,113,974,545628,546602,0.57,0.582,0.986
Divers,4,127,150,0,95,95,0.0,0.0,0.051
Drame,3281,113,109,40882,12966409,13007291,23.941,13.823,41.495
Epouvante-horreur,679,98,96,5246,2392325,2397571,3.072,2.55,8.587
Erotique,68,109,107,624,123506,124130,0.365,0.132,0.86
Espionnage,83,120,118,1109,1004772,1005881,0.649,1.071,1.05
Expérimental,3,96,105,4,321,325,0.002,0.0,0.038
Famille,385,95,95,4228,2290391,2294619,2.476,2.442,4.869
Fantastique,654,110,105,7994,7191710,7199704,4.681,7.667,8.271
Guerre,207,125,123,2029,1297205,1299234,1.188,1.383,2.618
Historique,319,127,122,3789,1313687,1317476,2.219,1.4,4.034
Judiciaire,38,111,106,319,86420,86739,0.187,0.092,0.481
Musical,139,111,108,1297,663452,664749,0.76,0.707,1.758
Policier,686,110,108,6069,4781005,4787074,3.554,5.097,8.676
Péplum,13,131,123,202,153323,153525,0.118,0.163,0.164
Romance,887,110,106,9206,4211642,4220848,5.391,4.49,11.218
Science fiction,570,110,108,6372,6517170,6523542,3.732,6.948,7.209
Sport event,9,110,108,85,11590,11675,0.05,0.012,0.114
Thriller,1670,108,105,16488,8405278,8421766,9.656,8.961,21.121
Western,99,121,118,908,618131,619039,0.532,0.659,1.252
