press_name,series_id,press_rating
Daily Beast,12209,4.0
Collider,12209,3.0
TV Guide,12209,3.0
The Guardian,12209,3.0
Vulture,12209,3.0
indieWIRE,12209,3.0
The Hollywood Reporter,12209,2.5
RogerEbert.com,12209,2.0
IGN France,25546,4.0
Première,25546,4.0
Télé Loisirs,25546,4.0
Variety,25546,4.0
Le Figaro,25546,3.5
Le Monde,25546,3.5
TV Guide,25546,2.5
The Hollywood Reporter,25546,2.5
Newsday,274,4.5
Chicago Sun-Times,274,4.0
New York Post,274,4.0
New York Times,274,4.0
Kansas City Star,274,3.5
Los Angeles Times,274,3.5
Variety,274,3.5
People Weekly,274,2.5
Slate,274,1.5
Washington Post,274,1.0
The Wrap,26636,4.0
Le Parisien,26636,3.5
Télérama,26636,3.0
Ecran Large,26636,2.5
Le Figaro,26636,2.0
Time,26636,2.0
Première,19792,3.5
Télérama,19792,3.0
Brain Damaged,19792,2.0
Critictoo,19792,2.0
Critictoo,22373,4.5
20 Minutes,22373,4.0
Cosmopolitan,22373,4.0
Le Figaro Magazine,22373,4.0
Paris Match,22373,4.0
Première,22373,4.0
L'Express,22373,3.5
Le Point,22373,2.5
Les Inrockuptibles,22373,2.5
Télérama,22373,1.5
Vanity Fair,22373,1.5
Ecran Large,22373,1.0
Le Parisien,25616,4.0
Télé 7 Jours,25616,4.0
Le Figaro,25616,3.5
Le Monde,25616,3.5
Télé Câble Sat,25616,3.0
Télé Z,25616,3.0
Télérama,25616,2.5
Les Echos,24836,4.5
Le Parisien,24836,4.0
Les Inrockuptibles,24836,4.0
Libération,24836,4.0
Première,24836,4.0
Télérama,24836,4.0
La Croix,24836,3.5
Le Monde,24836,3.5
Le Figaro,26602,4.0
Télé Loisirs,26602,4.0
Télé Câble Sat,26602,3.5
Télé Z,26602,3.5
Le Parisien,26602,3.0
Télérama,26602,3.0
Téléstar,26602,3.0
Critictoo,23024,5.0
Le Parisien,23024,5.0
20 Minutes,23024,4.5
Entertainment weekly,23024,4.5
Le Figaro Magazine,23024,4.0
Le Monde,23024,4.0
Le Point,23024,4.0
