genres,nb_series,avg_duration,median_duration,nb_press_rating,nb_user_rating,total_rating,press_rating_percentage,user_rating_percentage,series_percentage
Action,614,38,42,685,757436,758121,5.01,5.598,7.695
Animation,1448,21,24,60,487756,487816,0.439,3.605,18.148
Arts Martiaux,21,33,25,10,15688,15698,0.073,0.116,0.263
Aventure,494,36,26,374,502886,503260,2.735,3.716,6.191
Biopic,114,64,60,195,38527,38722,1.426,0.285,1.429
Classique,2,39,39,0,729,729,0.0,0.005,0.025
Comédie,2153,29,26,1414,1945780,1947194,10.341,14.38,26.983
Comédie dramatique,166,40,42,175,111044,111219,1.28,0.821,2.08
Comédie musicale,36,33,30,47,150133,150180,0.344,1.11,0.451
Dessin animé,65,15,12,0,11765,11765,0.0,0.087,0.815
Documentaire,325,47,47,20,16008,16028,0.146,0.118,4.073
Drame,3337,50,48,4776,4299402,4304178,34.928,31.774,41.822
Epouvante-horreur,210,42,42,386,247076,247462,2.823,1.826,2.632
Erotique,11,29,26,0,413,413,0.0,0.003,0.138
Espionnage,91,48,45,140,101152,101292,1.024,0.748,1.14
Famille,382,29,25,67,223163,223230,0.49,1.649,4.788
Fantastique,614,39,42,875,959947,960822,6.399,7.094,7.695
Guerre,69,54,52,42,84028,84070,0.307,0.621,0.865
Historique,312,58,54,331,205594,205925,2.421,1.519,3.91
Judiciaire,191,53,52,223,98345,98568,1.631,0.727,2.394
Mobisode,1,1,1,0,12,12,0.0,0.0,0.013
Musical,73,43,42,66,7978,8044,0.483,0.059,0.915
Médical,82,48,42,125,177563,177688,0.914,1.312,1.028
Policier,961,54,52,1045,1168772,1169817,7.642,8.638,12.044
Péplum,14,71,71,0,19372,19372,0.0,0.143,0.175
Romance,387,48,45,253,198933,199186,1.85,1.47,4.85
Science fiction,488,39,42,711,679967,680678,5.2,5.025,6.116
Show,8,34,35,0,1048,1048,0.0,0.008,0.1
Soap,149,42,42,41,60268,60309,0.3,0.445,1.867
Sport event,19,38,35,6,2373,2379,0.044,0.018,0.238
Thriller,833,50,52,1577,923693,925270,11.533,6.826,10.44
Websérie,61,9,8,0,743,743,0.0,0.005,0.765
Western,76,45,42,30,33620,33650,0.219,0.248,0.953
