nationality,nb_series,nb_press_rating,nb_user_rating,total_rating,press_rating_percentage,user_rating_percentage,series_percentage
Afrique du Sud,14,10,3256,3266,0.1399,0.0454,0.1758
Algérie,1,0,2,2,0.0,0.0,0.0126
Allemagne,244,146,90464,90610,2.0431,1.2621,3.0634
Allemagne de l'Est,1,0,0,0,0.0,0.0,0.0126
Allemagne de l'Ouest,10,0,390,390,0.0,0.0054,0.1255
Arabie Saoudite,2,0,2,2,0.0,0.0,0.0251
Argentine,38,0,2426,2426,0.0,0.0338,0.4771
Australie,157,16,22383,22399,0.2239,0.3123,1.9711
Autriche,21,13,5870,5883,0.1819,0.0819,0.2637
Belgique,90,111,20668,20779,1.5533,0.2884,1.1299
Bolivie,1,0,4,4,0.0,0.0001,0.0126
Brésil,67,3,3667,3670,0.042,0.0512,0.8412
Bulgarie,1,0,52,52,0.0,0.0007,0.0126
Burkina Faso,1,0,4,4,0.0,0.0001,0.0126
Cameroun,1,0,2,2,0.0,0.0,0.0126
Canada,360,51,269490,269541,0.7137,3.7599,4.5198
Cap-Vert,1,0,8,8,0.0,0.0001,0.0126
Chili,7,0,138,138,0.0,0.0019,0.0879
Chine,22,0,337,337,0.0,0.0047,0.2762
Colombie,25,0,797,797,0.0,0.0111,0.3139
Congo (Brazzaville),1,0,2,2,0.0,0.0,0.0126
Corée,8,0,201,201,0.0,0.0028,0.1004
Corée du Nord,1,0,8,8,0.0,0.0001,0.0126
Corée du Sud,150,32,14176,14208,0.4478,0.1978,1.8832
Croatie,1,0,255,255,0.0,0.0036,0.0126
Côte-d'Ivoire,4,0,10,10,0.0,0.0001,0.0502
Danemark,45,16,11113,11129,0.2239,0.155,0.565
Egypte,4,0,132,132,0.0,0.0018,0.0502
Emirats Arabes Unis,1,0,15,15,0.0,0.0002,0.0126
Espagne,178,46,178085,178131,0.6437,2.4846,2.2348
Estonie,1,0,29,29,0.0,0.0004,0.0126
Finlande,24,0,661,661,0.0,0.0092,0.3013
France,1255,1328,761495,762823,18.5838,10.6243,15.7564
Gabon,2,0,56,56,0.0,0.0008,0.0251
Grande-Bretagne,908,425,429245,429670,5.9474,5.9888,11.3999
Grèce,1,0,1,1,0.0,0.0,0.0126
Hong-Kong,2,0,14,14,0.0,0.0002,0.0251
Hongrie,3,0,103,103,0.0,0.0014,0.0377
Inde,32,0,402,402,0.0,0.0056,0.4018
Iran,1,0,19,19,0.0,0.0003,0.0126
Irlande,18,20,31910,31930,0.2799,0.4452,0.226
Islande,11,0,1358,1358,0.0,0.0189,0.1381
Israël,40,26,6349,6375,0.3638,0.0886,0.5022
Italie,124,106,24116,24222,1.4833,0.3365,1.5568
Japon,733,9,210496,210505,0.1259,2.9368,9.2028
Jordanie,3,0,347,347,0.0,0.0048,0.0377
Kenya,2,0,1,1,0.0,0.0,0.0251
Lettonie,1,0,255,255,0.0,0.0036,0.0126
Liban,1,0,11,11,0.0,0.0002,0.0126
Lituanie,1,0,27,27,0.0,0.0004,0.0126
Luxembourg,8,0,14105,14105,0.0,0.1968,0.1004
Malaisie,2,0,124,124,0.0,0.0017,0.0251
Maroc,1,0,2,2,0.0,0.0,0.0126
Mexique,61,11,7116,7127,0.1539,0.0993,0.7659
Nigéria,2,0,1,1,0.0,0.0,0.0251
Norvège,39,12,7425,7437,0.1679,0.1036,0.4896
Nouvelle-Zélande,16,0,1561,1561,0.0,0.0218,0.2009
Pakistan,2,0,4,4,0.0,0.0001,0.0251
Pays-Bas,43,0,1676,1676,0.0,0.0234,0.5399
Philippines,4,0,63,63,0.0,0.0009,0.0502
Pologne,25,6,13066,13072,0.084,0.1823,0.3139
Portugal,7,0,350,350,0.0,0.0049,0.0879
Pérou,2,0,57,57,0.0,0.0008,0.0251
Québec,19,0,384,384,0.0,0.0054,0.2385
Russie,9,0,813,813,0.0,0.0113,0.113
République tchèque,7,7,1236,1243,0.098,0.0172,0.0879
Serbie,2,0,1,1,0.0,0.0,0.0251
Singapour,3,0,51,51,0.0,0.0007,0.0377
Slovaquie,1,0,67,67,0.0,0.0009,0.0126
Suisse,24,9,8337,8346,0.1259,0.1163,0.3013
Suède,61,2,10601,10603,0.028,0.1479,0.7659
Sénégal,3,0,10,10,0.0,0.0001,0.0377
Taïwan,11,0,116,116,0.0,0.0016,0.1381
Thaïlande,6,0,75,75,0.0,0.001,0.0753
Turquie,130,0,2141,2141,0.0,0.0299,1.6321
U.S.A.,3649,4741,5007078,5011819,66.3448,69.8585,45.8129
Ukraine,4,0,141,141,0.0,0.002,0.0502
Vénézuela,2,0,0,0,0.0,0.0,0.0251
