id,title,status,release_date,duration,nb_seasons,nb_episodes,genres,directors,actors,nationality,press_rating,nb_press_rating,spect_rating,nb_spect_rating,summary,poster_link
26636,Anatomie d'un scandale,En cours,Depuis 2022,60,1,6,"Drame, Judiciaire","David E. Kelley, Melissa James Gibson","Sienna Miller, Michelle Dockery, Rupert Friend",U.S.A.,,,3.6,150,"La vie privilégiée de Sophie vole en éclats quand des secrets scandaleux font surface et que James, son mari et politicien de haut vol, est accusé d'un crime choquant.D'après l'ouvrage éponyme de Sarah Vaughan (2017).",https://fr.web.img5.acsta.net/c_310_420/pictures/22/03/18/08/49/3762635.jpg
27798,"LOL : Qui rit, sort !",En cours,Depuis 2021,25,3,18,"Comédie, Show",,"Philippe Lacheau, Alexandra Lamy, Melha Bedia",France,,,2.9,871,"Le public suivra le groupe de dix comédiens, chacun étant bien décidé à être le dernier à craquer. Six heures durant, une seule règle comptera : qui rit perd la partie. Celui qui parviendra à rester de marbre jusqu’au bout remportera le jeu et pourra reverser ses 50 000 € de dotation à l’association caritative de son choix.",https://fr.web.img6.acsta.net/c_310_420/pictures/21/04/01/10/10/2451175.jpg
22373,Élite,En cours,Depuis 2018,60,6,40,"Drame, Policier, Thriller","Carlos Montero, Darío Madrona","Itzan Escamilla, Georgina Amorós, Claudia Salas",Espagne,3.1,12,3.8,7949,"Las Encinas est l’école la plus compétitive et huppée d’Espagne accueillant les enfants de l’élite. C’est également dans cette école que trois enfants de la classe ouvrière sont admis lorsque leur école est détruite et que les étudiants sont alors répartis dans plusieurs établissements. Ils pensaient être chanceux... mais peut-être ne le sont-ils pas tant que cela ? La confrontation entre ceux qui ont tout et ceux qui n’ont rien est explosive, et aboutira à un meurtre. Qui est vraiment derrière ce crime ? Est-ce l’un des nouveaux arrivants ? Ou se cache-t-il quelque chose de plus sombre ?",https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/24/17/52/1035233.jpg
22917,The Rookie : le flic de Los Angeles,En cours,Depuis 2018,42,5,98,"Drame, Policier",Alexi Hawley,"Nathan Fillion, Shawn Ashmore, Alyssa Diaz",U.S.A.,3.3,8,4.1,628,"Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus...",https://fr.web.img6.acsta.net/c_310_420/pictures/18/05/16/09/29/5203734.jpg
31219,En un battement,En cours,Depuis 2022,45,1,14,"Drame, Thriller",Leonardo Padrón,"Juan Fernando Sánchez, Moises Arizmendi, Jacqueline Arenal",Colombie,,,3.4,21,"Obsédé par l'idée de venger sa femme de l'organisation de trafic d'organes qui l'a tuée pour prélever son cœur, un homme noue une relation avec la patiente qui l'a reçu.",https://fr.web.img3.acsta.net/c_310_420/pictures/22/03/23/23/35/5703315.jpg
31271,Sans un mot,Terminée,2022,45,1,,"Drame, Policier, Thriller","Agata Malesinska, Wojciech Miloszewski","Magdalena Boczarska, Leszek Lichota, Agnieszka Grochowska",Pologne,,,3.3,9,La disparition d'un jeune homme peu après la mort de son ami sème le trouble chez les habitants d'une banlieue aisée de Varsovie en révélant leurs secrets et mensonges.,https://fr.web.img5.acsta.net/c_310_420/pictures/22/04/04/18/37/4727888.jpg
26294,Outer Range,En cours,Depuis 2022,50,1,8,"Drame, Thriller",Brian Watkins,"Josh Brolin, Lili Taylor, Tamara Podemski",U.S.A.,3.0,6,3.4,41,"Royal Abbott est un éleveur du Wyoming. Il se bat pour conserver ses terres. Bientôt, il découvre un mystère en pleine nature...",https://fr.web.img4.acsta.net/c_310_420/pictures/22/03/10/10/50/4518123.jpg
24572,Poupée russe,En cours,Depuis 2019,30,2,15,"Comédie, Drame","Natasha Lyonne, Amy Poehler, Leslye Headland","Natasha Lyonne, Charlie Barnett, Greta Lee",U.S.A.,3.9,10,3.9,1024,"Une femme prise au piège d'une mystérieuse boucle revit sans cesse une nuit de fête à l'issue de laquelle elle meurt... avant de se réveiller le lendemain, indemne.",https://fr.web.img5.acsta.net/c_310_420/pictures/19/01/10/10/57/4401137.jpg
19901,Cassandre,En cours,Depuis 2015,90,6,22,"Drame, Policier","Bruno Lecigne, Mathieu Masmondet","Gwendoline Hamon, Alexandre Varga, Dominique Pinon",France,,,3.5,186,"Une grande femme flic de Paris - et citadine invétérée - est amenée à sacrifier sa carrière pour son fils et prendre de nouvelles fonctions dans un commissariat de province près de lui où rien n’est aussi efficace ni aussi rapide qu’au 36 quai des Orfèvres. Parisienne, elle devra s’adapter à une équipe qui ne l’attend pas, à un monde où les voisins se connaissent sur plusieurs générations et où les nuits à la campagne sont terriblement silencieuses. Pourtant, les crimes de sang qui se commettent à Annecy, sa région et jusqu’en bordure de la frontière suisse, n’en sont pas moins intrigants et complexes...",https://fr.web.img2.acsta.net/c_310_420/pictures/15/12/01/17/00/387444.jpg
25546,Moon Knight,En cours,Depuis 2022,45,1,6,"Aventure, Drame, Fantastique, Action",Jeremy Slater,"Oscar Isaac, Ethan Hawke, May Calamawy",U.S.A.,3.5,8,3.9,419,"Employé discret dans une boutique de souvenirs, Steven Grant est soudain victime de pertes de mémoire et est hanté par des visions d’une autre vie. Il découvre qu’il souffre d’un trouble dissociatif de l’identité et qu’il partage le même corps qu’un mercenaire, Marc Spector. Alors que l’étau se resserre sur Steven / Marc, les deux hommes, plongés dans une aventure périlleuse parmi les puissants dieux d’Égypte, vont devoir trouver leur équilibre dans cette double identité.",https://fr.web.img4.acsta.net/c_310_420/pictures/22/02/14/10/10/1383073.jpg
