press_name,movie_id,press_rating
Franceinfo Culture,287738,5.0
20 Minutes,287738,4.0
Bande à part,287738,4.0
Dernières Nouvelles d'Alsace,287738,4.0
Elle,287738,4.0
Femme Actuelle,287738,4.0
La Voix du Nord,287738,4.0
Le Dauphiné Libéré,287738,4.0
Le Journal du Dimanche,287738,4.0
Le Monde,287738,4.0
Le Point,287738,4.0
Les Echos,287738,4.0
Marianne,287738,4.0
Ouest France,287738,4.0
Positif,287738,4.0
Télé 7 Jours,287738,4.0
Télé Loisirs,287738,4.0
Télérama,287738,4.0
aVoir-aLire.com,287738,4.0
Closer,287738,3.0
L'Obs,287738,3.0
La Croix,287738,3.0
Le Figaro,287738,3.0
Le Parisien,287738,3.0
Libération,287738,3.0
Première,287738,3.0
Ecran Large,287738,2.0
L'Humanité,287738,2.0
Les Fiches du Cinéma,287738,2.0
Les Inrockuptibles,287738,2.0
Paris Match,287738,2.0
Cahiers du Cinéma,287738,1.0
20 Minutes,228087,4.0
Elle,228087,4.0
Le Parisien,228087,4.0
Le Point,228087,4.0
Public,228087,4.0
Télé Loisirs,228087,4.0
Critikat.com,228087,3.0
Dernières Nouvelles d'Alsace,228087,3.0
La Voix du Nord,228087,3.0
Le Dauphiné Libéré,228087,3.0
Le Figaro,228087,3.0
Le Journal du Dimanche,228087,3.0
Le Journal du Geek,228087,3.0
aVoir-aLire.com,228087,3.0
CinemaTeaser,228087,2.0
Ecran Large,228087,2.0
Les Inrockuptibles,228087,2.0
Ouest France,228087,2.0
Première,228087,2.0
Télé 7 Jours,228087,2.0
Télérama,228087,2.0
Femme Actuelle,274484,4.0
Le Journal du Dimanche,274484,4.0
Le Parisien,274484,4.0
Le Point,274484,4.0
Dernières Nouvelles d'Alsace,274484,3.0
La Voix du Nord,274484,3.0
Le Dauphiné Libéré,274484,3.0
Le Figaro,274484,3.0
La Croix,274484,2.0
Ecran Large,274484,1.0
Le Monde,274484,1.0
Les Inrockuptibles,274484,1.0
Paris Match,274484,1.0
Télérama,274484,1.0
Le Parisien,260627,4.0
20 Minutes,260627,3.0
Le Figaro,260627,3.0
Le Monde,260627,3.0
Télé Loisirs,260627,3.0
Le Journal du Geek,260627,2.0
Les Fiches du Cinéma,260627,2.0
Les Inrockuptibles,260627,2.0
Ecran Large,260627,1.0
IGN France,260627,1.0
Libération,260627,1.0
20 Minutes,281203,4.0
LCI,281203,4.0
Le Figaro,281203,4.0
Le Parisien,281203,4.0
CNews,281203,3.0
Dernières Nouvelles d'Alsace,281203,3.0
IGN France,281203,3.0
Les Fiches du Cinéma,281203,3.0
Ecran Large,281203,2.0
L'Ecran Fantastique,281203,2.0
L'Obs,281203,2.0
Le Monde,281203,2.0
Le Journal du Dimanche,281203,1.0
CinemaTeaser,211012,5.0
Closer,211012,5.0
Dernières Nouvelles d'Alsace,211012,5.0
