press_name,series_id,press_rating
Critictoo,22373,4.5
20 Minutes,22373,4.0
Cosmopolitan,22373,4.0
Le Figaro Magazine,22373,4.0
Paris Match,22373,4.0
Première,22373,4.0
L'Express,22373,3.5
Le Point,22373,2.5
Les Inrockuptibles,22373,2.5
Télérama,22373,1.5
Vanity Fair,22373,1.5
Ecran Large,22373,1.0
Colorado Springs Gazette,22917,5.0
Entertainment weekly,22917,4.0
Los Angeles Times,22917,3.0
Newsday,22917,3.0
Salon.com,22917,3.0
Uncle Barky,22917,3.0
New York Post,22917,2.5
USA Today,22917,2.5
Collider,26294,4.0
Le Parisien,26294,4.0
RogerEbert.com,26294,4.0
Variety,26294,3.0
The Hollywood Reporter,26294,2.0
indieWIRE,26294,1.0
Brain Damaged,24572,4.5
Ecran Large,24572,4.5
Les Inrockuptibles,24572,4.5
Critictoo,24572,4.0
Elle,24572,4.0
Le Figaro Magazine,24572,4.0
L'Express,24572,3.5
Le Monde,24572,3.5
Vanity Fair,24572,3.5
Télérama,24572,2.5
IGN France,25546,4.0
Première,25546,4.0
Télé Loisirs,25546,4.0
Variety,25546,4.0
Le Figaro,25546,3.5
Le Monde,25546,3.5
TV Guide,25546,2.5
The Hollywood Reporter,25546,2.5
Télé Loisirs,28570,4.5
Télérama,28570,4.5
Le Figaro,28570,4.0
Le Parisien,28570,4.0
Le Monde,28570,3.5
Première,28570,3.5
Télé 7 Jours,28570,3.5
Télé Câble Sat,28570,3.5
Les Echos,24836,4.5
Le Parisien,24836,4.0
Les Inrockuptibles,24836,4.0
Libération,24836,4.0
Première,24836,4.0
Télérama,24836,4.0
La Croix,24836,3.5
Le Monde,24836,3.5
Télé Loisirs,25064,4.5
Chicago Sun-Times,25064,4.0
Le Figaro,25064,4.0
Le Monde,25064,4.0
Les Echos,25064,4.0
Les Inrockuptibles,25064,4.0
The Daily Beast,25064,4.0
Time,25064,4.0
Télérama,25064,4.0
Le Journal du Dimanche,25064,3.0
Le Figaro,23886,4.0
Le Parisien,23886,4.0
Le Point,23886,4.0
Les Echos,23886,4.0
